entityId,time_utc,availableBikeNumber
27448,2025-12-14 16:00:00+00:00,
27448,2025-12-14 17:00:00+00:00,
27448,2025-12-14 18:00:00+00:00,
27448,2025-12-14 19:00:00+00:00,
27448,2025-12-14 20:00:00+00:00,
27448,2025-12-14 21:00:00+00:00,
27448,2025-12-14 22:00:00+00:00,
27448,2025-12-14 23:00:00+00:00,
27448,2025-12-15 00:00:00+00:00,
27448,2025-12-15 01:00:00+00:00,
27448,2025-12-15 02:00:00+00:00,
27448,2025-12-15 03:00:00+00:00,
27448,2025-12-15 04:00:00+00:00,
27448,2025-12-15 05:00:00+00:00,
27448,2025-12-15 06:00:00+00:00,
27448,2025-12-15 07:00:00+00:00,10.0
27449,2025-12-14 08:00:00+00:00,
27449,2025-12-14 09:00:00+00:00,
27449,2025-12-14 10:00:00+00:00,
27449,2025-12-14 11:00:00+00:00,
27449,2025-12-14 12:00:00+00:00,
27449,2025-12-14 13:00:00+00:00,
27449,2025-12-14 14:00:00+00:00,
27449,2025-12-14 15:00:00+00:00,
27449,2025-12-14 16:00:00+00:00,
27449,2025-12-14 17:00:00+00:00,
27449,2025-12-14 18:00:00+00:00,
27449,2025-12-14 19:00:00+00:00,
27449,2025-12-14 20:00:00+00:00,
27449,2025-12-14 21:00:00+00:00,
27449,2025-12-14 22:00:00+00:00,
27449,2025-12-14 23:00:00+00:00,
27449,2025-12-15 00:00:00+00:00,
27449,2025-12-15 01:00:00+00:00,
27449,2025-12-15 02:00:00+00:00,
27449,2025-12-15 03:00:00+00:00,
27449,2025-12-15 04:00:00+00:00,
27449,2025-12-15 05:00:00+00:00,
27449,2025-12-15 06:00:00+00:00,
27449,2025-12-15 07:00:00+00:00,4.0
27450,2025-12-14 08:00:00+00:00,
27450,2025-12-14 09:00:00+00:00,
27450,2025-12-14 10:00:00+00:00,
27450,2025-12-14 11:00:00+00:00,
27450,2025-12-14 12:00:00+00:00,
27450,2025-12-14 13:00:00+00:00,
27450,2025-12-14 14:00:00+00:00,
27450,2025-12-14 15:00:00+00:00,
27450,2025-12-14 16:00:00+00:00,
27450,2025-12-14 17:00:00+00:00,
27450,2025-12-14 18:00:00+00:00,
27450,2025-12-14 19:00:00+00:00,
27450,2025-12-14 20:00:00+00:00,
27450,2025-12-14 21:00:00+00:00,
27450,2025-12-14 22:00:00+00:00,
27450,2025-12-14 23:00:00+00:00,
27450,2025-12-15 00:00:00+00:00,
27450,2025-12-15 01:00:00+00:00,
27450,2025-12-15 02:00:00+00:00,
27450,2025-12-15 03:00:00+00:00,
27450,2025-12-15 04:00:00+00:00,
27450,2025-12-15 05:00:00+00:00,
27450,2025-12-15 06:00:00+00:00,
27450,2025-12-15 07:00:00+00:00,5.0
27451,2025-12-14 08:00:00+00:00,
27451,2025-12-14 09:00:00+00:00,
27451,2025-12-14 10:00:00+00:00,
27451,2025-12-14 11:00:00+00:00,
27451,2025-12-14 12:00:00+00:00,
27451,2025-12-14 13:00:00+00:00,
27451,2025-12-14 14:00:00+00:00,
27451,2025-12-14 15:00:00+00:00,
27451,2025-12-14 16:00:00+00:00,
27451,2025-12-14 17:00:00+00:00,
27451,2025-12-14 18:00:00+00:00,
27451,2025-12-14 19:00:00+00:00,
27451,2025-12-14 20:00:00+00:00,
27451,2025-12-14 21:00:00+00:00,
27451,2025-12-14 22:00:00+00:00,
27451,2025-12-14 23:00:00+00:00,
27451,2025-12-15 00:00:00+00:00,
27451,2025-12-15 01:00:00+00:00,
27451,2025-12-15 02:00:00+00:00,
27451,2025-12-15 03:00:00+00:00,
27451,2025-12-15 04:00:00+00:00,
27451,2025-12-15 05:00:00+00:00,
27451,2025-12-15 06:00:00+00:00,
27451,2025-12-15 07:00:00+00:00,4.0
27452,2025-12-14 08:00:00+00:00,
27452,2025-12-14 09:00:00+00:00,
27452,2025-12-14 10:00:00+00:00,
27452,2025-12-14 11:00:00+00:00,
27452,2025-12-14 12:00:00+00:00,
27452,2025-12-14 13:00:00+00:00,
27452,2025-12-14 14:00:00+00:00,
27452,2025-12-14 15:00:00+00:00,
27452,2025-12-14 16:00:00+00:00,
27452,2025-12-14 17:00:00+00:00,
27452,2025-12-14 18:00:00+00:00,
27452,2025-12-14 19:00:00+00:00,
27452,2025-12-14 20:00:00+00:00,
27452,2025-12-14 21:00:00+00:00,
27452,2025-12-14 22:00:00+00:00,
27452,2025-12-14 23:00:00+00:00,
27452,2025-12-15 00:00:00+00:00,
27452,2025-12-15 01:00:00+00:00,
27452,2025-12-15 02:00:00+00:00,
27452,2025-12-15 03:00:00+00:00,
27452,2025-12-15 04:00:00+00:00,
27452,2025-12-15 05:00:00+00:00,
27452,2025-12-15 06:00:00+00:00,
27452,2025-12-15 07:00:00+00:00,8.0
27567,2025-12-14 08:00:00+00:00,
27567,2025-12-14 09:00:00+00:00,
27567,2025-12-14 10:00:00+00:00,
27567,2025-12-14 11:00:00+00:00,
27567,2025-12-14 12:00:00+00:00,
27567,2025-12-14 13:00:00+00:00,
27567,2025-12-14 14:00:00+00:00,
27567,2025-12-14 15:00:00+00:00,
27567,2025-12-14 16:00:00+00:00,
27567,2025-12-14 17:00:00+00:00,
27567,2025-12-14 18:00:00+00:00,
27567,2025-12-14 19:00:00+00:00,
27567,2025-12-14 20:00:00+00:00,
27567,2025-12-14 21:00:00+00:00,
27567,2025-12-14 22:00:00+00:00,
27567,2025-12-14 23:00:00+00:00,
27567,2025-12-15 00:00:00+00:00,
27567,2025-12-15 01:00:00+00:00,
27567,2025-12-15 02:00:00+00:00,
27567,2025-12-15 03:00:00+00:00,
27567,2025-12-15 04:00:00+00:00,
27567,2025-12-15 05:00:00+00:00,
27567,2025-12-15 06:00:00+00:00,
27567,2025-12-15 07:00:00+00:00,14.0
27717,2025-12-14 08:00:00+00:00,
27717,2025-12-14 09:00:00+00:00,
27717,2025-12-14 10:00:00+00:00,
27717,2025-12-14 11:00:00+00:00,
27717,2025-12-14 12:00:00+00:00,
27717,2025-12-14 13:00:00+00:00,
27717,2025-12-14 14:00:00+00:00,
27717,2025-12-14 15:00:00+00:00,
27717,2025-12-14 16:00:00+00:00,
27717,2025-12-14 17:00:00+00:00,
27717,2025-12-14 18:00:00+00:00,
27717,2025-12-14 19:00:00+00:00,
27717,2025-12-14 20:00:00+00:00,
27717,2025-12-14 21:00:00+00:00,
27717,2025-12-14 22:00:00+00:00,
27717,2025-12-14 23:00:00+00:00,
27717,2025-12-15 00:00:00+00:00,
27717,2025-12-15 01:00:00+00:00,
27717,2025-12-15 02:00:00+00:00,
27717,2025-12-15 03:00:00+00:00,
27717,2025-12-15 04:00:00+00:00,
27717,2025-12-15 05:00:00+00:00,
27717,2025-12-15 06:00:00+00:00,
27717,2025-12-15 07:00:00+00:00,1.0
28264,2025-12-14 08:00:00+00:00,
28264,2025-12-14 09:00:00+00:00,
28264,2025-12-14 10:00:00+00:00,
28264,2025-12-14 11:00:00+00:00,
28264,2025-12-14 12:00:00+00:00,
28264,2025-12-14 13:00:00+00:00,
28264,2025-12-14 14:00:00+00:00,
28264,2025-12-14 15:00:00+00:00,
28264,2025-12-14 16:00:00+00:00,
28264,2025-12-14 17:00:00+00:00,
28264,2025-12-14 18:00:00+00:00,
28264,2025-12-14 19:00:00+00:00,
28264,2025-12-14 20:00:00+00:00,
28264,2025-12-14 21:00:00+00:00,
28264,2025-12-14 22:00:00+00:00,
28264,2025-12-14 23:00:00+00:00,
28264,2025-12-15 00:00:00+00:00,
